symbol,date,close
ASIANPAINT.NS,2018-05-02,18.33
ASIANPAINT.NS,2018-06-01,19.27
ASIANPAINT.NS,2018-07-02,18.8
ASIANPAINT.NS,2018-08-01,21.02
ASIANPAINT.NS,2018-09-03,19.12
ASIANPAINT.NS,2018-10-01,17.55
ASIANPAINT.NS,2018-11-01,16.58
ASIANPAINT.NS,2018-12-03,19.01
ASIANPAINT.NS,2019-01-01,19.7
ASIANPAINT.NS,2019-02-01,20.44
ASIANPAINT.NS,2019-03-01,19.64
ASIANPAINT.NS,2019-04-01,21.53
AXISBANK.NS,2016-04-01,6.78
AXISBANK.NS,2016-05-02,7.1
AXISBANK.NS,2016-06-01,7.59
AXISBANK.NS,2016-07-01,8.06
AXISBANK.NS,2016-08-01,8.25
AXISBANK.NS,2016-09-01,8.91
AXISBANK.NS,2016-10-03,8.28
AXISBANK.NS,2016-11-01,7.13
AXISBANK.NS,2016-12-01,6.82
AXISBANK.NS,2017-01-02,6.57
AXISBANK.NS,2017-02-01,7.05
AXISBANK.NS,2017-03-01,7.68
AXISBANK.NS,2017-04-03,7.7
AXISBANK.NS,2017-05-02,7.87
AXISBANK.NS,2017-06-01,7.9
AXISBANK.NS,2017-07-03,7.98
AXISBANK.NS,2017-08-01,8.06
AXISBANK.NS,2017-09-01,7.93
AXISBANK.NS,2017-10-03,7.78
AXISBANK.NS,2017-11-01,8.28
AXISBANK.NS,2017-12-01,8.28
AXISBANK.NS,2018-01-01,8.85
AXISBANK.NS,2018-02-01,9.26
AXISBANK.NS,2018-03-01,8.07
AXISBANK.NS,2018-04-02,7.66
AXISBANK.NS,2018-05-02,7.86
AXISBANK.NS,2018-06-01,8.0
AXISBANK.NS,2018-07-02,7.45
AXISBANK.NS,2018-08-01,7.97
AXISBANK.NS,2018-09-03,8.87
AXISBANK.NS,2018-10-01,8.14
AXISBANK.NS,2018-11-01,8.2
AXISBANK.NS,2018-12-03,8.87
AXISBANK.NS,2019-01-01,9.01
AXISBANK.NS,2019-02-01,10.06
AXISBANK.NS,2019-03-01,9.91
AXISBANK.NS,2019-04-01,11.04
BAJAJ-AUTO.NS,2016-04-01,36.47
BAJAJ-AUTO.NS,2016-05-02,37.32
BAJAJ-AUTO.NS,2016-06-01,38.6
BAJAJ-AUTO.NS,2016-07-01,39.68
BAJAJ-AUTO.NS,2016-08-01,41.02
BAJAJ-AUTO.NS,2016-09-01,44.79
BAJAJ-AUTO.NS,2016-10-03,43.29
BAJAJ-AUTO.NS,2016-11-01,42.36
BAJAJ-AUTO.NS,2016-12-01,39.43
BAJAJ-AUTO.NS,2017-01-02,38.13
BAJAJ-AUTO.NS,2017-02-01,42.33
BAJAJ-AUTO.NS,2017-03-01,41.43
BAJAJ-AUTO.NS,2017-04-03,42.83
BAJAJ-AUTO.NS,2017-05-02,45.12
BAJAJ-AUTO.NS,2017-06-01,44.04
BAJAJ-AUTO.NS,2017-07-03,43.01
BAJAJ-AUTO.NS,2017-08-01,44.05
BAJAJ-AUTO.NS,2017-09-01,45.54
BAJAJ-AUTO.NS,2017-10-03,48.27
BAJAJ-AUTO.NS,2017-11-01,50.15
BAJAJ-AUTO.NS,2017-12-01,49.88
BAJAJ-AUTO.NS,2018-01-01,51.49
BAJAJ-AUTO.NS,2018-02-01,53.31
BAJAJ-AUTO.NS,2018-03-01,46.35
BAJAJ-AUTO.NS,2018-04-02,43.1
BAJAJ-AUTO.NS,2018-05-02,44.49
BAJAJ-AUTO.NS,2018-06-01,43.16
BAJAJ-AUTO.NS,2018-07-02,41.21
BAJAJ-AUTO.NS,2018-08-01,39.21
BAJAJ-AUTO.NS,2018-09-03,38.92
BAJAJ-AUTO.NS,2018-10-01,37.44
BAJAJ-AUTO.NS,2018-11-01,35.38
BAJAJ-AUTO.NS,2018-12-03,38.86
BAJAJ-AUTO.NS,2019-01-01,39.16
BAJAJ-AUTO.NS,2019-02-01,36.51
BAJAJ-AUTO.NS,2019-03-01,40.39
BAJAJ-AUTO.NS,2019-04-01,42.06
BAJFINANCE.NS,2016-04-01,10.37
BAJFINANCE.NS,2016-05-02,10.62
BAJFINANCE.NS,2016-06-01,11.33
BAJFINANCE.NS,2016-07-01,12.13
BAJFINANCE.NS,2016-08-01,16.83
BAJFINANCE.NS,2016-09-01,16.67
BAJFINANCE.NS,2016-10-03,16.33
BAJFINANCE.NS,2016-11-01,15.9
BAJFINANCE.NS,2016-12-01,13.38
BAJFINANCE.NS,2017-01-02,12.77
BAJFINANCE.NS,2017-02-01,15.81
BAJFINANCE.NS,2017-03-01,16.1
BAJFINANCE.NS,2017-04-03,18.18
BAJFINANCE.NS,2017-05-02,19.75
BAJFINANCE.NS,2017-06-01,20.59
BAJFINANCE.NS,2017-07-03,21.39
BAJFINANCE.NS,2017-08-01,26.77
BAJFINANCE.NS,2017-09-01,28.11
BAJFINANCE.NS,2017-10-03,28.51
BAJFINANCE.NS,2017-11-01,27.97
BAJFINANCE.NS,2017-12-01,26.54
BAJFINANCE.NS,2018-01-01,27.02
BAJFINANCE.NS,2018-02-01,27.01
BAJFINANCE.NS,2018-03-01,25.46
BAJFINANCE.NS,2018-04-02,27.91
BAJFINANCE.NS,2018-05-02,28.58
BAJFINANCE.NS,2018-06-01,30.95
BAJFINANCE.NS,2018-07-02,33.43
BAJFINANCE.NS,2018-08-01,39.82
BAJFINANCE.NS,2018-09-03,38.25
BAJFINANCE.NS,2018-10-01,30.29
BAJFINANCE.NS,2018-11-01,32.92
BAJFINANCE.NS,2018-12-03,35.63
BAJFINANCE.NS,2019-01-01,38.16
BAJFINANCE.NS,2019-02-01,36.87
BAJFINANCE.NS,2019-03-01,37.53
BAJFINANCE.NS,2019-04-01,43.3
BAJAJFINSV.NS,2016-04-01,26.33
BAJAJFINSV.NS,2016-05-02,29.23
BAJAJFINSV.NS,2016-06-01,26.66
BAJAJFINSV.NS,2016-07-01,34.98
BAJAJFINSV.NS,2016-08-01,42.41
BAJAJFINSV.NS,2016-09-01,45.26
BAJAJFINSV.NS,2016-10-03,48.01
BAJAJFINSV.NS,2016-11-01,51.85
BAJAJFINSV.NS,2016-12-01,43.0
BAJAJFINSV.NS,2017-01-02,43.29
BAJAJFINSV.NS,2017-02-01,49.36
BAJAJFINSV.NS,2017-03-01,58.71
BAJAJFINSV.NS,2017-04-03,63.06
BAJAJFINSV.NS,2017-05-02,71.1
BAJAJFINSV.NS,2017-06-01,65.24
BAJAJFINSV.NS,2017-07-03,63.69
BAJAJFINSV.NS,2017-08-01,79.05
BAJAJFINSV.NS,2017-09-01,85.82
BAJAJFINSV.NS,2017-10-03,81.3
BAJAJFINSV.NS,2017-11-01,77.75
BAJAJFINSV.NS,2017-12-01,79.06
BAJAJFINSV.NS,2018-01-01,80.97
BAJAJFINSV.NS,2018-02-01,78.7
BAJAJFINSV.NS,2018-03-01,76.71
BAJAJFINSV.NS,2018-04-02,80.83
BAJAJFINSV.NS,2018-05-02,81.55
BAJAJFINSV.NS,2018-06-01,87.65
BAJAJFINSV.NS,2018-07-02,83.99
BAJAJFINSV.NS,2018-08-01,102.23
BAJAJFINSV.NS,2018-09-03,93.42
BAJAJFINSV.NS,2018-10-01,80.67
BAJAJFINSV.NS,2018-11-01,73.34
BAJAJFINSV.NS,2018-12-03,85.2
BAJAJFINSV.NS,2019-01-01,93.66
BAJAJFINSV.NS,2019-02-01,85.53
BAJAJFINSV.NS,2019-03-01,90.85
BAJAJFINSV.NS,2019-04-01,103.27
BHARTIARTL.NS,2016-04-01,4.64
BHARTIARTL.NS,2016-05-02,4.95
BHARTIARTL.NS,2016-06-01,4.94
BHARTIARTL.NS,2016-07-01,5.02
BHARTIARTL.NS,2016-08-01,5.01
BHARTIARTL.NS,2016-09-01,4.26
BHARTIARTL.NS,2016-10-03,4.4
BHARTIARTL.NS,2016-11-01,4.37
BHARTIARTL.NS,2016-12-01,4.27
BHARTIARTL.NS,2017-01-02,4.19
BHARTIARTL.NS,2017-02-01,4.7
BHARTIARTL.NS,2017-03-01,4.98
BHARTIARTL.NS,2017-04-03,4.83
BHARTIARTL.NS,2017-05-02,4.97
BHARTIARTL.NS,2017-06-01,5.23
BHARTIARTL.NS,2017-07-03,5.41
BHARTIARTL.NS,2017-08-01,5.97
BHARTIARTL.NS,2017-09-01,6.06
BHARTIARTL.NS,2017-10-03,5.39
BHARTIARTL.NS,2017-11-01,7.66
BHARTIARTL.NS,2017-12-01,6.89
BHARTIARTL.NS,2018-01-01,7.59
